"method_id","method_header","method_qualified_name","method_start_line","method_end_line"
"GS-000000","void testRemove()","com.google.gson.JsonArrayTest.testRemove()V","54","69"
"GS-000001","boolean remove(JsonElement element)","com.google.gson.JsonArray.remove(Lcom/google/gson/JsonElement;)Z","128","130"
"GS-000002","JsonElement remove(int index)","com.google.gson.JsonArray.remove(I)Lcom/google/gson/JsonElement;","141","143"
"GS-000003","void add(JsonElement element)","com.google.gson.JsonArray.add(Lcom/google/gson/JsonElement;)V","93","98"
"GS-000004","boolean contains(JsonElement element)","com.google.gson.JsonArray.contains(Lcom/google/gson/JsonElement;)Z","151","153"
"GS-000005","String getAsString()","com.google.gson.JsonElement.getAsString()Ljava/lang/String;","190","192"
"GS-000006","void testCreatingMoreThanOnce()","com.google.gson.GsonBuilderTest.testCreatingMoreThanOnce()V","42","46"
"GS-000007","Gson create()","com.google.gson.GsonBuilder.create()Lcom/google/gson/Gson;","562","573"
"GS-000008","void addTypeAdaptersForDate(String datePattern, int dateStyle, int timeStyle, List<TypeAdapterFactory> factories)","com.google.gson.GsonBuilder.addTypeAdaptersForDate(Ljava/lang/String;IILjava/util/List;)V","575","589"
"GS-000009","void testAddingAndRemovingObjectProperties()","com.google.gson.JsonObjectTest.testAddingAndRemovingObjectProperties()V","30","44"
"GS-000010","void add(String property, JsonElement value)","com.google.gson.JsonObject.add(Ljava/lang/String;Lcom/google/gson/JsonElement;)V","53","58"
"GS-000011","JsonElement remove(String property)","com.google.gson.JsonObject.remove(Ljava/lang/String;)Lcom/google/gson/JsonElement;","67","69"
"GS-000012","V put(K key, V value)","com.google.gson.internal.LinkedTreeMap.put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;","90","98"
"GS-000013","V remove(Object key)","com.google.gson.internal.LinkedTreeMap.remove(Ljava/lang/Object;)Ljava/lang/Object;","110","113"
"GS-000014","boolean has(String memberName)","com.google.gson.JsonObject.has(Ljava/lang/String;)Z","150","152"
"GS-000015","JsonElement get(String memberName)","com.google.gson.JsonObject.get(Ljava/lang/String;)Lcom/google/gson/JsonElement;","160","162"
"GS-000016","void testModifiers()","com.google.gson.FieldAttributesTest.testModifiers()V","53","62"
"GS-000017","boolean hasModifier(int modifier)","com.google.gson.FieldAttributes.hasModifier(I)Z","134","136"
"GS-000018","void setUp()","com.google.gson.FieldAttributesTest.setUp()V","36","40"
"GS-000019","void testEqualsAndHashcode()","com.google.gson.JsonNullTest.testEqualsAndHashcode()V","27","32"
"GS-000020","void assertEqualsAndHashCode(Object a, Object b)","com.google.gson.common.MoreAsserts.assertEqualsAndHashCode(Ljava/lang/Object;Ljava/lang/Object;)V","65","71"
"GS-000021","void path()","com.google.gson.stream.JsonReaderPathTest.path()V","46","83"
"GS-000022","String getPath()","com.google.gson.stream.JsonReader.getPath()Ljava/lang/String;","1458","1483"
"GS-000023","void beginArray()","com.google.gson.stream.JsonReader.beginArray()V","340","352"
"GS-000024","void endArray()","com.google.gson.stream.JsonReader.endArray()V","358","370"
"GS-000025","void beginObject()","com.google.gson.stream.JsonReader.beginObject()V","376","387"
"GS-000026","void endObject()","com.google.gson.stream.JsonReader.endObject()V","393","406"
"GS-000027","String nextName()","com.google.gson.stream.JsonReader.nextName()Ljava/lang/String;","776","794"
"GS-000028","String nextString()","com.google.gson.stream.JsonReader.nextString()Ljava/lang/String;","804","830"
"GS-000029","boolean nextBoolean()","com.google.gson.stream.JsonReader.nextBoolean()Z","839","854"
"GS-000030","void nextNull()","com.google.gson.stream.JsonReader.nextNull()V","863","874"
"GS-000031","int nextInt()","com.google.gson.stream.JsonReader.nextInt()I","1154","1202"
"GS-000032","JsonReader create(String data)","com.google.gson.stream.JsonReaderPathTest$Factory.create(Ljava/lang/String;)Lcom/google/gson/stream/JsonReader;","254","254"
"GS-000033","void testStringValueSerialization()","com.google.gson.functional.StringTest.testStringValueSerialization()V","22","25"
"GS-000034","String toJson(Object src)","com.google.gson.Gson.toJson(Ljava/lang/Object;)Ljava/lang/String;","579","584"
"GS-000035","String toJson(JsonElement jsonElement)","com.google.gson.Gson.toJson(Lcom/google/gson/JsonElement;)Ljava/lang/String;","686","690"
"GS-000036","String toJson(Object src, Type typeOfSrc)","com.google.gson.Gson.toJson(Ljava/lang/Object;Ljava/lang/reflect/Type;)Ljava/lang/String;","601","605"
"GS-000037","void setUp()","com.google.gson.functional.StringTest.setUp()V","16","20"
"GS-000038","void testReadClosed()","com.google.gson.MixedStreamTest.testReadClosed()V","121","130"
"GS-000039","void close()","com.google.gson.stream.JsonReader.close()V","1207","1212"
"GS-000040","<T extends Object> T fromJson(String json, Class<T> classOfT)","com.google.gson.Gson.fromJson(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;","772","775"
"GS-000041","<T extends Object> T fromJson(String json, Type typeOfT)","com.google.gson.Gson.fromJson(Ljava/lang/String;Ljava/lang/reflect/Type;)Ljava/lang/Object;","795","803"
"GS-000042","void testPrematureClose()","com.google.gson.internal.bind.JsonTreeWriterTest.testPrematureClose()V","87","96"
"GS-000043","void close()","com.google.gson.internal.bind.JsonTreeWriter.close()V","202","207"
"GS-000044","void setLenient(boolean lenient)","com.google.gson.stream.JsonWriter.setLenient(Z)V","234","236"
