test_case_id;method_id;method_role
GS-000000;GS-000001;focal
GS-000000;GS-000002;focal
GS-000000;GS-000003;contextual
GS-000000;GS-000004;contextual
GS-000000;GS-000005;contextual
GS-000006;GS-000007;focal
GS-000006;GS-000008;contextual
GS-000009;GS-000010;focal
GS-000009;GS-000011;focal
GS-000009;GS-000012;contextual
GS-000009;GS-000013;contextual
GS-000009;GS-000014;contextual
GS-000009;GS-000015;contextual
GS-000016;GS-000017;focal
GS-000016;GS-000018;helper
GS-000019;GS-000020;focal
GS-000021;GS-000022;focal
GS-000021;GS-000023;contextual
GS-000021;GS-000024;contextual
GS-000021;GS-000025;contextual
GS-000021;GS-000026;contextual
GS-000021;GS-000027;contextual
GS-000021;GS-000028;contextual
GS-000021;GS-000029;contextual
GS-000021;GS-000030;contextual
GS-000021;GS-000031;contextual
GS-000021;GS-000032;helper
GS-000033;GS-000034;focal
GS-000033;GS-000035;contextual
GS-000033;GS-000036;contextual
GS-000033;GS-000037;helper
GS-000038;GS-000039;focal
GS-000038;GS-000040;focal
GS-000038;GS-000041;focal
GS-000042;GS-000043;focal
GS-000042;GS-000044;contextual
GS-000042;GS-000045;contextual
GS-000046;GS-000047;focal
GS-000046;GS-000048;contextual
GS-000046;GS-000012;contextual
GS-000049;GS-000050;focal
GS-000049;GS-000051;contextual
GS-000052;GS-000053;focal
GS-000054;GS-000055;focal
GS-000054;GS-000056;contextual
GS-000054;GS-000057;contextual
GS-000054;GS-000058;helper
GS-000059;GS-000060;focal
GS-000059;GS-000018;helper
GS-000061;GS-000062;focal
GS-000061;GS-000063;contextual
GS-000061;GS-000064;contextual
GS-000061;GS-000065;contextual
GS-000061;GS-000066;contextual
GS-000067;GS-000068;focal
GS-000067;GS-000018;helper
GS-000069;GS-000070;focal
GS-000069;GS-000071;contextual
GS-000069;GS-000072;contextual
GS-000069;GS-000073;contextual
GS-000069;GS-000074;contextual
GS-000069;GS-000036;contextual
GS-000069;GS-000040;contextual
GS-000069;GS-000007;contextual
GS-000075;GS-000076;focal
GS-000075;GS-000077;contextual
GS-000075;GS-000078;contextual
GS-000079;GS-000034;focal
GS-000079;GS-000035;contextual
GS-000079;GS-000036;contextual
GS-000080;GS-000034;focal
GS-000080;GS-000035;contextual
GS-000080;GS-000036;contextual
GS-000081;GS-000040;focal
GS-000081;GS-000041;contextual
GS-000081;GS-000082;contextual
GS-000083;GS-000034;focal
GS-000083;GS-000035;contextual
GS-000083;GS-000036;contextual
GS-000083;GS-000084;helper
GS-000085;GS-000034;focal
GS-000085;GS-000035;contextual
GS-000085;GS-000036;contextual
GS-000085;GS-000086;helper
GS-000085;GS-000087;helper
GS-000088;GS-000036;focal
GS-000088;GS-000089;contextual
GS-000088;GS-000090;contextual
GS-000088;GS-000091;helper
GS-000092;GS-000093;focal
GS-000092;GS-000094;contextual
GS-000092;GS-000095;contextual
GS-000092;GS-000096;contextual
GS-000092;GS-000097;contextual
GS-000092;GS-000098;helper
GS-000099;GS-000100;focal
GS-000101;GS-000102;focal
GS-000103;GS-000040;focal
GS-000103;GS-000041;contextual
GS-000103;GS-000082;contextual
GS-000103;GS-000037;helper
GS-000104;GS-000040;focal
GS-000104;GS-000041;contextual
GS-000104;GS-000082;contextual
GS-000104;GS-000037;helper
GS-000105;GS-000034;focal
GS-000105;GS-000035;contextual
GS-000105;GS-000036;contextual
GS-000105;GS-000037;helper
GS-000106;GS-000034;focal
GS-000106;GS-000035;contextual
GS-000106;GS-000036;contextual
GS-000106;GS-000037;helper
GS-000107;GS-000040;focal
GS-000107;GS-000041;contextual
GS-000107;GS-000082;contextual
GS-000107;GS-000037;helper
GS-000108;GS-000034;focal
GS-000108;GS-000035;contextual
GS-000108;GS-000036;contextual
GS-000108;GS-000037;helper
GS-000109;GS-000040;focal
GS-000109;GS-000041;contextual
GS-000109;GS-000082;contextual
GS-000109;GS-000037;helper
GS-000110;GS-000040;focal
GS-000110;GS-000041;contextual
GS-000110;GS-000082;contextual
GS-000110;GS-000037;helper
GS-000111;GS-000034;focal
GS-000111;GS-000040;contextual
GS-000111;GS-000035;contextual
GS-000111;GS-000036;contextual
GS-000111;GS-000037;helper
GS-000112;GS-000040;focal
GS-000112;GS-000041;contextual
GS-000112;GS-000082;contextual
GS-000112;GS-000037;helper
GS-000113;GS-000034;focal
GS-000113;GS-000036;focal
GS-000113;GS-000035;contextual
GS-000113;GS-000037;helper
GS-000114;GS-000040;focal
GS-000114;GS-000041;contextual
GS-000114;GS-000082;contextual
GS-000114;GS-000037;helper
GS-000115;GS-000034;focal
GS-000115;GS-000035;contextual
GS-000115;GS-000036;contextual
GS-000115;GS-000037;helper
GS-000116;GS-000040;focal
GS-000116;GS-000041;contextual
GS-000116;GS-000082;contextual
GS-000116;GS-000037;helper
GS-000117;GS-000034;focal
GS-000117;GS-000035;contextual
GS-000117;GS-000036;contextual
GS-000117;GS-000037;helper
GS-000118;GS-000040;focal
GS-000118;GS-000041;contextual
GS-000118;GS-000082;contextual
GS-000118;GS-000037;helper
GS-000119;GS-000090;focal
GS-000119;GS-000120;helper
GS-000121;GS-000090;focal
GS-000121;GS-000120;helper
GS-000122;GS-000094;focal
GS-000122;GS-000123;contextual
GS-000122;GS-000124;contextual
GS-000122;GS-000097;contextual
GS-000125;GS-000094;focal
GS-000125;GS-000123;contextual
GS-000125;GS-000124;contextual
GS-000125;GS-000090;contextual
GS-000125;GS-000097;contextual
GS-000126;GS-000094;focal
GS-000126;GS-000123;contextual
GS-000126;GS-000124;contextual
GS-000126;GS-000090;contextual
GS-000126;GS-000095;contextual
GS-000126;GS-000096;contextual
GS-000126;GS-000014;contextual
GS-000127;GS-000041;focal
GS-000127;GS-000128;contextual
GS-000127;GS-000090;contextual
GS-000129;GS-000130;focal
GS-000129;GS-000018;helper
