"method_id","method_header","method_qualified_name","method_start_line","method_end_line"
"JF-000000","void testSetSeriesToolTipGenerator()","org.jfree.chart.XYLineChartTest.testSetSeriesToolTipGenerator()V","132","140"
"JF-000001","void setSeriesToolTipGenerator(int series, XYToolTipGenerator generator)","org.jfree.chart.renderer.xy.XYItemRenderer.setSeriesToolTipGenerator(ILorg/jfree/chart/labels/XYToolTipGenerator;)V","761","762"
"JF-000002","XYToolTipGenerator getToolTipGenerator(int row, int column)","org.jfree.chart.renderer.xy.XYItemRenderer.getToolTipGenerator(II)Lorg/jfree/chart/labels/XYToolTipGenerator;","739","739"
"JF-000003","XYItemRenderer getRenderer()","org.jfree.chart.plot.XYPlot.getRenderer()Lorg/jfree/chart/renderer/xy/XYItemRenderer;","1538","1540"
"JF-000004","Plot getPlot()","org.jfree.chart.JFreeChart.getPlot()Lorg/jfree/chart/plot/Plot;","893","895"
"JF-000005","void setUp()","org.jfree.chart.XYLineChartTest.setUp()V","77","80"
"JF-000006","void testSetSeriesURLGenerator()","org.jfree.chart.StackedBarChart3DTest.testSetSeriesURLGenerator()V","150","159"
"JF-000007","void setSeriesItemURLGenerator(int series, CategoryURLGenerator generator)","org.jfree.chart.renderer.category.CategoryItemRenderer.setSeriesItemURLGenerator(ILorg/jfree/chart/urls/CategoryURLGenerator;)V","1713","1714"
"JF-000008","CategoryItemRenderer getRenderer()","org.jfree.chart.plot.CategoryPlot.getRenderer()Lorg/jfree/chart/renderer/category/CategoryItemRenderer;","1547","1549"
"JF-000009","CategoryURLGenerator getItemURLGenerator(int series, int item)","org.jfree.chart.renderer.category.CategoryItemRenderer.getItemURLGenerator(II)Lorg/jfree/chart/urls/CategoryURLGenerator;","1678","1678"
"JF-000010","void setUp()","org.jfree.chart.StackedBarChart3DTest.setUp()V","78","81"
"JF-000011","void testReplaceDataset()","org.jfree.chart.StackedAreaChartTest.testReplaceDataset()V","105","127"
"JF-000012","void setDataset(int index, CategoryDataset dataset)","org.jfree.chart.plot.CategoryPlot.setDataset(ILorg/jfree/data/category/CategoryDataset;)V","1339","1351"
"JF-000013","void removeChangeListener(DatasetChangeListener listener)","org.jfree.data.general.Dataset.removeChangeListener(Lorg/jfree/data/general/DatasetChangeListener;)V","77","77"
"JF-000014","void addChangeListener(DatasetChangeListener listener)","org.jfree.data.general.Dataset.addChangeListener(Lorg/jfree/data/general/DatasetChangeListener;)V","70","70"
"JF-000015","void datasetChanged(DatasetChangeEvent event)","org.jfree.chart.plot.CategoryPlot.datasetChanged(Lorg/jfree/data/general/DatasetChangeEvent;)V","2275","2290"
"JF-000016","void setDataset(CategoryDataset dataset)","org.jfree.chart.plot.CategoryPlot.setDataset(Lorg/jfree/data/category/CategoryDataset;)V","1326","1328"
"JF-000017","CategoryDataset createCategoryDataset(String rowKeyPrefix, String columnKeyPrefix, Number[][] data)","org.jfree.data.general.DatasetUtilities.createCategoryDataset(Ljava/lang/String;Ljava/lang/String;[[Ljava/lang/Number;)Lorg/jfree/data/category/CategoryDataset;","397","410"
"JF-000018","void addChangeListener(ChartChangeListener listener)","org.jfree.chart.JFreeChart.addChangeListener(Lorg/jfree/chart/event/ChartChangeListener;)V","1531","1534"
"JF-000019","ValueAxis getRangeAxis()","org.jfree.chart.plot.CategoryPlot.getRangeAxis()Lorg/jfree/chart/axis/ValueAxis;","1025","1027"
"JF-000020","Range getRange()","org.jfree.chart.axis.ValueAxis.getRange()Lorg/jfree/data/Range;","1259","1261"
"JF-000021","double getLowerBound()","org.jfree.data.Range.getLowerBound()D","104","106"
"JF-000022","double getUpperBound()","org.jfree.data.Range.getUpperBound()D","113","115"
