test_case_id;method_id;method_role
JT-000000;JT-000001;focal
JT-000000;JT-000002;contextual
JT-000000;JT-000003;contextual
JT-000000;JT-000004;contextual
JT-000000;JT-000005;helper
JT-000000;JT-000006;helper
JT-000007;JT-000008;focal
JT-000007;JT-000009;contextual
JT-000007;JT-000010;contextual
JT-000007;JT-000011;contextual
JT-000007;JT-000012;contextual
JT-000007;JT-000013;contextual
JT-000007;JT-000014;contextual
JT-000007;JT-000015;contextual
JT-000007;JT-000016;contextual
JT-000007;JT-000017;contextual
JT-000007;JT-000018;contextual
JT-000007;JT-000019;contextual
JT-000007;JT-000020;contextual
JT-000007;JT-000021;contextual
JT-000007;JT-000022;contextual
JT-000023;JT-000024;focal
JT-000023;JT-000025;contextual
JT-000023;JT-000026;contextual
JT-000023;JT-000027;contextual
JT-000023;JT-000028;contextual
JT-000023;JT-000029;contextual
JT-000023;JT-000030;contextual
JT-000023;JT-000031;contextual
JT-000023;JT-000032;contextual
JT-000023;JT-000033;helper
JT-000023;JT-000034;helper
JT-000035;JT-000036;focal
JT-000035;JT-000027;contextual
JT-000035;JT-000037;contextual
JT-000035;JT-000038;contextual
JT-000035;JT-000039;contextual
JT-000035;JT-000040;contextual
JT-000035;JT-000041;contextual
JT-000035;JT-000042;contextual
JT-000035;JT-000043;contextual
JT-000035;JT-000044;contextual
JT-000035;JT-000045;contextual
JT-000035;JT-000046;contextual
JT-000035;JT-000047;contextual
JT-000035;JT-000048;contextual
JT-000035;JT-000049;contextual
JT-000035;JT-000050;contextual
JT-000035;JT-000051;contextual
JT-000035;JT-000052;contextual
JT-000035;JT-000053;contextual
JT-000035;JT-000054;contextual
JT-000035;JT-000055;contextual
JT-000035;JT-000056;helper
JT-000035;JT-000057;helper
JT-000058;JT-000059;focal
JT-000058;JT-000060;contextual
JT-000058;JT-000061;contextual
JT-000058;JT-000062;helper
JT-000058;JT-000063;helper
JT-000064;JT-000065;focal
JT-000064;JT-000066;contextual
JT-000064;JT-000067;contextual
JT-000064;JT-000068;contextual
JT-000064;JT-000026;contextual
JT-000064;JT-000027;contextual
JT-000064;JT-000029;contextual
JT-000064;JT-000069;contextual
JT-000064;JT-000070;contextual
JT-000064;JT-000071;contextual
JT-000064;JT-000072;helper
JT-000064;JT-000073;helper
JT-000074;JT-000065;focal
